year_month,Series ID_x,CPI,Series ID_y,PPI
1962/11,CUUR0000SEFG,24.0,,
1962/12,CUUR0000SEFG,24.0,,
1963/01,CUUR0000SEFG,24.1,,
1963/02,CUUR0000SEFG,24.1,,
1963/03,CUUR0000SEFG,24.0,,
1963/04,CUUR0000SEFG,24.0,,
1963/05,CUUR0000SEFG,24.2,,
1963/06,CUUR0000SEFG,24.0,,
1963/07,CUUR0000SEFG,23.9,,
1963/08,CUUR0000SEFG,23.7,,
1963/09,CUUR0000SEFG,23.8,,
1963/10,CUUR0000SEFG,23.7,,
1963/11,CUUR0000SEFG,23.8,,
1963/12,CUUR0000SEFG,23.9,,
1964/01,CUUR0000SEFG,23.7,,
1964/02,CUUR0000SEFG,23.6,,
1964/03,CUUR0000SEFG,23.3,,
1964/04,CUUR0000SEFG,23.3,,
1964/05,CUUR0000SEFG,23.3,,
1964/06,CUUR0000SEFG,23.2,,
1964/07,CUUR0000SEFG,23.2,,
1964/08,CUUR0000SEFG,23.2,,
1964/09,CUUR0000SEFG,23.2,,
1964/10,CUUR0000SEFG,23.3,,
1964/11,CUUR0000SEFG,23.5,,
1964/12,CUUR0000SEFG,23.6,,
1965/01,CUUR0000SEFG,23.8,,
1965/02,CUUR0000SEFG,24.0,,
1965/03,CUUR0000SEFG,23.9,,
1965/04,CUUR0000SEFG,24.0,,
1965/05,CUUR0000SEFG,24.0,,
1965/06,CUUR0000SEFG,24.0,,
1965/07,CUUR0000SEFG,24.1,,
1965/08,CUUR0000SEFG,24.2,,
1965/09,CUUR0000SEFG,24.1,,
1965/10,CUUR0000SEFG,24.2,,
1965/11,CUUR0000SEFG,24.2,,
1965/12,CUUR0000SEFG,24.2,,
1966/01,CUUR0000SEFG,24.4,,
1966/02,CUUR0000SEFG,24.6,,
1966/03,CUUR0000SEFG,25.0,,
1966/04,CUUR0000SEFG,25.2,,
1966/05,CUUR0000SEFG,25.7,,
1966/06,CUUR0000SEFG,25.7,,
1966/07,CUUR0000SEFG,25.8,,
1966/08,CUUR0000SEFG,26.0,,
1966/09,CUUR0000SEFG,26.2,,
1966/10,CUUR0000SEFG,26.1,,
1966/11,CUUR0000SEFG,26.3,,
1966/12,CUUR0000SEFG,26.5,,
1967/01,CUUR0000SEFG,26.8,,
1967/02,CUUR0000SEFG,26.5,,
1967/03,CUUR0000SEFG,26.7,,
1967/04,CUUR0000SEFG,26.7,,
1967/05,CUUR0000SEFG,26.6,,
1967/06,CUUR0000SEFG,26.3,,
1967/07,CUUR0000SEFG,26.4,,
1967/08,CUUR0000SEFG,26.4,,
1967/09,CUUR0000SEFG,26.4,,
1967/10,CUUR0000SEFG,26.3,,
1967/11,CUUR0000SEFG,26.3,,
1967/12,CUUR0000SEFG,26.5,,
1968/01,CUUR0000SEFG,26.7,,
1968/02,CUUR0000SEFG,26.7,,
1968/03,CUUR0000SEFG,26.4,,
1968/04,CUUR0000SEFG,26.6,,
1968/05,CUUR0000SEFG,26.7,,
1968/06,CUUR0000SEFG,26.9,,
1968/07,CUUR0000SEFG,27.0,,
1968/08,CUUR0000SEFG,27.1,,
1968/09,CUUR0000SEFG,27.2,,
1968/10,CUUR0000SEFG,27.2,,
1968/11,CUUR0000SEFG,27.3,,
1968/12,CUUR0000SEFG,27.5,,
1969/01,CUUR0000SEFG,27.6,,
1969/02,CUUR0000SEFG,27.8,,
1969/03,CUUR0000SEFG,27.8,,
1969/04,CUUR0000SEFG,27.9,,
1969/05,CUUR0000SEFG,28.2,,
1969/06,CUUR0000SEFG,28.2,,
1969/07,CUUR0000SEFG,28.4,,
1969/08,CUUR0000SEFG,28.6,,
1969/09,CUUR0000SEFG,28.7,,
1969/10,CUUR0000SEFG,29.0,,
1969/11,CUUR0000SEFG,29.1,,
1969/12,CUUR0000SEFG,29.5,,
1970/01,CUUR0000SEFG,29.8,,
1970/02,CUUR0000SEFG,30.1,,
1970/03,CUUR0000SEFG,30.4,,
1970/04,CUUR0000SEFG,30.7,,
1970/05,CUUR0000SEFG,30.9,,
1970/06,CUUR0000SEFG,31.2,,
1970/07,CUUR0000SEFG,31.2,,
1970/08,CUUR0000SEFG,31.4,,
1970/09,CUUR0000SEFG,31.8,,
1970/10,CUUR0000SEFG,32.2,,
1970/11,CUUR0000SEFG,32.5,,
1970/12,CUUR0000SEFG,33.0,,
1971/01,CUUR0000SEFG,33.2,,
1971/02,CUUR0000SEFG,33.6,,
1971/03,CUUR0000SEFG,33.8,,
1971/04,CUUR0000SEFG,34.1,,
1971/05,CUUR0000SEFG,34.3,,
1971/06,CUUR0000SEFG,34.5,,
1971/07,CUUR0000SEFG,34.7,,
1971/08,CUUR0000SEFG,34.9,,
1971/09,CUUR0000SEFG,35.1,,
1971/10,CUUR0000SEFG,35.2,,
1971/11,CUUR0000SEFG,35.2,,
1971/12,CUUR0000SEFG,35.3,,
1972/01,CUUR0000SEFG,35.7,,
1972/02,CUUR0000SEFG,36.3,,
1972/03,CUUR0000SEFG,36.6,,
1972/04,CUUR0000SEFG,37.0,,
1972/05,CUUR0000SEFG,37.1,,
1972/06,CUUR0000SEFG,37.4,,
1972/07,CUUR0000SEFG,37.6,,
1972/08,CUUR0000SEFG,37.8,,
1972/09,CUUR0000SEFG,38.3,,
1972/10,CUUR0000SEFG,38.6,,
1972/11,CUUR0000SEFG,39.2,,
1972/12,CUUR0000SEFG,39.4,,
1973/01,CUUR0000SEFG,39.5,,
1973/02,CUUR0000SEFG,40.1,,
